35.9066,-76.9737,28.4626,0.709417,0.216075,-0.265065
89.6435,1.47464,92.5177,0.125393,-0.345969,-0.230708
137.784,-175.037,98.301,0.332183,0.730765,-0.200607
89.6428,1.47756,92.5174,0.125395,-0.345984,-0.230706
168.55,-162.794,-18.3115,0.0168763,0.5679,-0.697792
89.6381,1.4962,92.5165,0.125423,-0.346076,-0.230691
117.043,43.8672,96.5156,-0.344287,0.2487,0.738617
89.6342,1.51115,92.5173,0.125478,-0.346155,-0.230678
106.712,138.157,-162.157,-0.348099,-0.895303,0.68142
89.64,1.48845,92.5169,0.125412,-0.346038,-0.230697
